sub.ID	Longtitude	Latitude	Region
153	-6.859862	6.521636	Haut-Sassandra
154	-6.511205	7.506542	Haut-Sassandra
155	-6.832057	7.529964	Haut-Sassandra
156	-6.903879	7.207536	Haut-Sassandra
157	-8.406591	6.499877	Moyen-Cavally
158	-7.185864	6.487173	Moyen-Cavally
159	-7.375065	6.012926	Moyen-Cavally
160	-8.017432	6.587344	Moyen-Cavally
161	-8.517804	6.510572	Moyen-Cavally
162	-8.432213	6.589037	Moyen-Cavally
163	-8.300833	6.486541	Moyen-Cavally
164	-7.190068	6.880202	Moyen-Cavally
165	-7.391132	6.723418	Moyen-Cavally
166	-7.106862	6.700423	Moyen-Cavally
167	-3.493922	6.664720	Moyen-Comoé
168	-3.247010	7.140284	Moyen-Comoé
169	-3.314225	6.673956	Moyen-Comoé
170	-4.474721	6.349143	N'zi-Comoé
171	-4.330981	6.436791	N'zi-Comoé
172	-4.215866	6.706639	N'zi-Comoé
173	-4.740074	6.765964	N'zi-Comoé
174	-3.911093	7.093113	N'zi-Comoé
175	-4.428258	7.010485	N'zi-Comoé
176	-3.706524	7.325061	N'zi-Comoé
177	-3.794398	7.521328	N'zi-Comoé
178	-4.348232	7.554560	N'zi-Comoé
179	-3.998962	7.748090	N'zi-Comoé
180	-4.251381	7.742958	N'zi-Comoé
181	-4.645248	7.294736	N'zi-Comoé
182	-5.251963	5.855107	Sud-Bandama
183	-5.283333	5.542426	Sud-Bandama
184	-5.252395	5.302369	Sud-Bandama
185	-5.640117	5.324263	Sud-Bandama
186	-5.231252	6.136609	Sud-Bandama
187	-5.657858	5.837364	Sud-Bandama
188	-5.876765	5.667795	Sud-Bandama
189	-5.646757	6.101505	Sud-Bandama
190	-3.281498	5.460473	Sud-Comoé
191	-3.176211	5.703017	Sud-Comoé
192	-3.526649	5.353724	Sud-Comoé
193	-3.162765	5.995201	Sud-Comoé
194	-2.960406	5.454036	Sud-Comoé
195	-3.182704	5.197232	Sud-Comoé
196	-2.886163	5.229328	Sud-Comoé
197	-3.322690	5.270399	Sud-Comoé
198	-3.768528	5.238152	Sud-Comoé
199	-6.735694	8.845928	Worodougou
200	-6.617047	8.052000	Worodougou
201	-6.447620	8.211287	Worodougou
202	-6.957015	7.926330	Worodougou
203	-6.389606	7.904465	Worodougou
204	-6.934305	8.319946	Worodougou
205	-6.559708	8.529738	Worodougou
206	-7.031989	8.765110	Worodougou
207	-5.839227	7.852054	Worodougou
208	-6.159417	8.434637	Worodougou
209	-5.682539	8.207216	Worodougou
210	-6.062438	7.804191	Worodougou
211	-6.336081	8.834934	Worodougou
212	-2.814230	8.038299	Zanzan
213	-2.956078	7.955914	Zanzan
214	-3.085381	8.076264	Zanzan
215	-3.332398	8.175572	Zanzan
216	-3.085807	8.390748	Zanzan
217	-2.702508	8.430454	Zanzan
218	-3.733849	8.097782	Zanzan
219	-3.261930	9.747313	Zanzan
220	-3.371306	9.152394	Zanzan
221	-3.803905	9.748247	Zanzan
222	-3.559124	8.485728	Zanzan
223	-3.337320	7.514109	Zanzan
224	-3.589324	7.744112	Zanzan
225	-3.164144	7.277776	Zanzan
226	-3.054466	7.506552	Zanzan
227	-2.968563	7.718578	Zanzan
228	-3.209595	7.831601	Zanzan
229	-6.110841	8.059679	Worodougou
230	-5.848481	8.459074	Worodougou
231	-3.375685	5.163316	Sud-Comoé
232	-4.202967	7.299683	N'zi-Comoé
233	-3.925581	6.769287	N'zi-Comoé
234	-4.611954	6.456701	N'zi-Comoé
235	-3.325625	6.095182	Moyen-Comoé
236	-7.464631	6.892702	Moyen-Cavally
237	-7.618685	6.482504	Moyen-Cavally
238	-7.844539	10.053335	Denguélé
239	-8.086464	9.577165	Denguélé
240	-7.713328	9.632629	Denguélé
241	-7.582452	8.674356	Bafing
242	-7.556615	8.252904	Bafing
243	-7.845864	8.191770	Bafing
244	-8.069580	8.349665	Bafing
245	-5.520300	9.417354	Savanes
246	-5.767401	9.231673	Savanes
247	-7.788882	6.950375	Moyen-Cavally
248	-7.555423	7.785384	Dix-Huit Montagnes
249	-4.804022	7.449470	Lacs
250	-4.968035	6.544904	Lacs
251	-4.856789	6.347227	Lacs
252	-5.225980	8.692048	Vallée du Bandama
253	-5.150988	8.095430	Vallée du Bandama
254	-5.861952	7.500366	Marahoué
255	-4.248280	5.807725	Agnéby
