"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24731,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",6,"Soubré",21,"Grand-Zattry","","","Sous-préfecture","Sub-prefecture"
24732,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",6,"Soubré",22,"Meagui (Gnamangui)","","","Sous-préfecture","Sub-prefecture"
24733,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",6,"Soubré",23,"Soubre","","","Sous-préfecture","Sub-prefecture"
24734,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",7,"Tabou",24,"Grabo","","","Sous-préfecture","Sub-prefecture"
24735,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",7,"Tabou",25,"Tabou","","","Sous-préfecture","Sub-prefecture"
24736,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",26,"Bako","","","Sous-préfecture","Sub-prefecture"
24737,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",27,"Dioulatiedougou","","","Sous-préfecture","Sub-prefecture"
24738,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",28,"Goulia","","","Sous-préfecture","Sub-prefecture"
24739,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",29,"Kaniasso","","","Sous-préfecture","Sub-prefecture"
24740,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",30,"Madinani","","","Sous-préfecture","Sub-prefecture"
24741,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",31,"Minignan","","","Sous-préfecture","Sub-prefecture"
24742,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",32,"Odienne","","","Sous-préfecture","Sub-prefecture"
24743,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",33,"Samatiguila","","","Sous-préfecture","Sub-prefecture"
24744,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",34,"Seguelon","","","Sous-préfecture","Sub-prefecture"
24745,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",35,"Seydougou","","","Sous-préfecture","Sub-prefecture"
24746,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",36,"Tieme","","","Sous-préfecture","Sub-prefecture"
24747,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné",37,"Tienko","","","Sous-préfecture","Sub-prefecture"
24748,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",9,"Bangolo",38,"Bangolo","","","Sous-préfecture","Sub-prefecture"
24749,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",10,"Biankouma",39,"Biankouma","","","Sous-préfecture","Sub-prefecture"
24750,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",10,"Biankouma",40,"Gbonne","","","Sous-préfecture","Sub-prefecture"
24751,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",10,"Biankouma",41,"Sipilou","","","Sous-préfecture","Sub-prefecture"
24752,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",11,"Danané",42,"Bin-Houye","","","Sous-préfecture","Sub-prefecture"
24753,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",11,"Danané",43,"Danane","","","Sous-préfecture","Sub-prefecture"
24754,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",11,"Danané",44,"Zouan-Hounien","","","Sous-préfecture","Sub-prefecture"
24755,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man",45,"Facobly","","","Sous-préfecture","Sub-prefecture"
24756,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man",46,"Kouibly","","","Sous-préfecture","Sub-prefecture"
24757,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man",47,"Logouale","","","Sous-préfecture","Sub-prefecture"
24758,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man",48,"Man","","","Sous-préfecture","Sub-prefecture"
24759,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man",49,"Sangouine","","","Sous-préfecture","Sub-prefecture"
24760,56,"CIV","Côte d'Ivoire",6,"Fromager",13,"Gagnoa",50,"Gagnoa","","","Sous-préfecture","Sub-prefecture"
24761,56,"CIV","Côte d'Ivoire",6,"Fromager",13,"Gagnoa",51,"Guiberoua","","","Sous-préfecture","Sub-prefecture"
24762,56,"CIV","Côte d'Ivoire",6,"Fromager",13,"Gagnoa",52,"Ouragahio","","","Sous-préfecture","Sub-prefecture"
24763,56,"CIV","Côte d'Ivoire",6,"Fromager",14,"Oumé",53,"Diegonefla","","","Sous-préfecture","Sub-prefecture"
24764,56,"CIV","Côte d'Ivoire",6,"Fromager",14,"Oumé",54,"Oume","","","Sous-préfecture","Sub-prefecture"
24765,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",15,"Daloa",55,"Bediala","","","Sous-préfecture","Sub-prefecture"
24766,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",15,"Daloa",56,"Daloa","","","Sous-préfecture","Sub-prefecture"
24767,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",15,"Daloa",57,"Gboguhe","","","Sous-préfecture","Sub-prefecture"
24768,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",15,"Daloa",58,"Zoukougbeu","","","Sous-préfecture","Sub-prefecture"
24769,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",16,"Issia",59,"Issia","","","Sous-préfecture","Sub-prefecture"
24770,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",16,"Issia",60,"Saioua","","","Sous-préfecture","Sub-prefecture"
24771,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",17,"Vavoua",61,"Vavoua","","","Sous-préfecture","Sub-prefecture"
24772,56,"CIV","Côte d'Ivoire",8,"Lacs",18,"Toumodi",62,"Kokoumbo","","","Sous-préfecture","Sub-prefecture"
24773,56,"CIV","Côte d'Ivoire",8,"Lacs",18,"Toumodi",63,"Toumodi","","","Sous-préfecture","Sub-prefecture"
24774,56,"CIV","Côte d'Ivoire",8,"Lacs",19,"Yamoussoukro",64,"Didievi","","","Sous-préfecture","Sub-prefecture"
24775,56,"CIV","Côte d'Ivoire",8,"Lacs",19,"Yamoussoukro",65,"Tie-N'diekro","","","Sous-préfecture","Sub-prefecture"
24776,56,"CIV","Côte d'Ivoire",8,"Lacs",19,"Yamoussoukro",66,"Tiebissou","","","Sous-préfecture","Sub-prefecture"
24777,56,"CIV","Côte d'Ivoire",8,"Lacs",19,"Yamoussoukro",67,"Yamoussoukro","","","Sous-préfecture","Sub-prefecture"
24778,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",68,"Abidjan-Ville","","","Sous-préfecture","Sub-prefecture"
24779,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",69,"Alepe","","","Sous-préfecture","Sub-prefecture"
24780,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",70,"Anyama","","","Sous-préfecture","Sub-prefecture"
24781,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",71,"Bingerville","","","Sous-préfecture","Sub-prefecture"
24782,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",72,"Bonoua","","","Sous-préfecture","Sub-prefecture"
24783,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",73,"Dabou","","","Sous-préfecture","Sub-prefecture"
24784,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",74,"Grand-Bassam","","","Sous-préfecture","Sub-prefecture"
24785,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan",75,"Jacqueville","","","Sous-préfecture","Sub-prefecture"
